frame,gt,mp,corr
4,62.05545258105564,,
5,61.80285873313882,,
6,61.60593548500705,,
7,61.3890176356906,,
8,61.058143608832864,,
9,61.3289028953262,,
10,62.231892352585206,,
11,63.326936827228394,,
12,64.45360816971784,,
13,65.28046536571985,,
14,65.49706738275694,,
15,65.4033527230845,,
16,65.50462354013284,,
17,65.96202590766413,,
18,66.79788556089346,,
19,68.20696110474867,,
20,70.14866800161496,110.39530546632992,69.95327055782558
21,72.60381536274156,109.42701356150008,68.98497865299574
22,75.5244509269546,114.91076210799615,74.46872719949181
23,78.39788539040677,114.66253262741652,74.22049771891218
24,80.1932970136659,114.95168169279046,74.50964678428612
25,80.22791392317824,117.32237573083145,76.88034082232711
26,78.37301232850169,111.7392346074862,71.29719969898186
27,75.21063556194206,113.0180922012242,72.57605729271987
28,72.15378564994447,,
29,69.78355734950345,,
30,67.56155916960542,,
31,65.31577341956888,,
32,63.53503650737982,,
33,62.45043167924793,,
34,62.24541053484901,,
35,62.05551743974171,,
36,61.80285873313887,103.88926968756128,63.44723477905694
37,61.605885232148445,106.75556682793723,66.31353191943289
38,61.38892674445251,105.82004258546573,65.37800767696139
39,61.05833357436251,106.02217804955214,65.5801431410478
40,61.32881826741475,104.1017119208253,63.659677012320955
41,62.23193931497093,107.49730860723585,67.05527369873151
42,63.32697084792496,,
43,64.45364795691334,,
44,65.28042908644763,,
46,65.4036046088486,,
47,65.50464268505912,,
48,65.96174311484974,,
49,66.79747962605245,,
50,68.20675480901059,,
51,70.14871274896257,,
52,72.60364162448101,109.13265584114139,68.69062093263705
53,75.52439287661375,108.52408855184785,68.08205364334351
54,78.3982324467542,109.89114849253438,69.44911358403004
55,80.19333374914646,109.21115093828858,68.76911602978424
56,80.22782426861822,119.98061568275612,79.53858077425178
57,78.37297937887045,119.52421228442252,79.08217737591818
59,72.15393068119356,,
66,62.055457217468515,95.54478310932444,55.1027482008201
67,61.80304124044875,93.82852576933259,53.386490860828246
68,61.60582391693195,95.30563300063993,54.86359809213559
69,61.38907048365155,101.65960009747883,61.21756518897449
70,61.05842314386958,99.20718351867266,58.765148610168325
