frame,gt,mp,corr
0,163.73593734331817,146.33430314743305,131.87518861721742
1,163.73593734331817,146.88204292501857,132.42292839480294
2,166.16545313784744,150.47594709487797,136.01683256466234
3,166.1757484046711,151.07678915601727,136.61767462580164
4,166.2905884552501,160.89104503039678,146.43193050018115
5,166.6920344910781,163.92450548012755,149.46539094991192
6,167.55728721128517,164.9876388631306,150.52852433291497
7,169.05159762971584,166.4151858759531,151.95607134573748
8,171.09949717352336,168.05171722070227,153.59260269048664
9,172.4758651072671,163.8789197390019,149.41980520878627
10,172.54286190171794,160.10058937173943,145.6414748415238
11,171.7284438526506,147.88888987995298,133.42977534973735
12,170.16822594849225,141.70477767649444,127.24566314627883
13,168.0259454322053,142.38101913546987,127.92190460525426
14,165.51582217332435,139.66011239021097,125.20099785999535
15,162.75348192659746,134.5130078438813,120.05389331366568
16,159.48789848970128,141.8078932909431,127.34877876072748
17,155.39383368454708,144.64012866124037,130.18101413102474
18,150.14047800478932,141.96936086204144,127.51024633182583
19,143.25242300118165,144.9137406722371,130.45462614202148
20,135.99344160143403,139.353638708439,124.89452417822339
21,129.87853403645772,138.8354911633234,124.3763766331078
22,124.41916666802892,137.22139583048767,122.76228130027205
23,120.52309169932992,138.1569603042222,123.69784577400658
24,119.07992067313067,140.75796938190567,126.29885485169005
25,119.62876632427694,137.36869324701212,122.9095787167965
26,121.8041038875962,137.62713330676172,123.1680187765461
27,125.9746117204,142.0221103110668,127.56299578085118
28,132.60073195096837,146.9203000719768,132.46118554176118
29,142.09766106466475,148.60774608143055,134.14863155121492
30,151.79129272927827,155.5987432510062,141.13962872079057
31,158.97115613008185,146.795541477604,132.33642694738836
32,163.73593211861981,144.91828534183307,130.45917081161744
33,166.16536715009326,144.1036393854095,129.64452485519388
34,166.17555964477552,140.90103367947012,126.4419191492545
35,166.29058297524045,146.3821647057095,131.92305017549387
36,166.69209325480904,151.37314414038303,136.9140296101674
37,167.55709008231068,154.47604575256906,140.01693122235343
38,169.05154203934975,154.38393444230337,139.92481991208774
39,171.09949717352322,155.30276724447285,140.84365271425722
40,172.4759236812759,157.89749115595453,143.4383766257389
41,172.5431133224625,147.22634529752432,132.7672307673087
42,171.72862332487864,148.11564891999316,133.65653438977753
43,170.1682973206529,136.56489250682262,122.105777976607
44,168.02641090721016,137.43384840568882,122.9747338754732
45,165.5158243114535,142.63653655067475,128.17742202045912
46,162.75387338991575,147.91338268789482,133.4542681576792
47,159.48826710679802,146.3151401236432,131.85602559342757
48,155.3943171662023,152.58019490715319,138.12108037693756
49,150.1407190670819,155.50054887253498,141.04143434231935
50,143.252908226606,159.318716089274,144.85960155905838
51,135.99342913536955,152.2327062442638,137.77359171404817
52,129.87850176541266,157.25185477785416,142.79274024763853
53,124.41931167123677,,
54,120.52300660303749,,
55,119.07992531205558,,
56,119.62872887704914,152.1897464111963,137.73063188098067
57,121.80420312815453,154.09167627302404,139.6325617428084
58,125.97445085851915,159.57990726184676,145.12079273163113
59,132.6006605967398,,
60,142.0974054117967,,
61,151.79115029696425,,
62,158.9709185862824,,
63,163.73571687741952,,
64,166.16506258161004,,
65,166.1756232061365,,
66,166.29082857826552,,
67,166.69206598767843,,
68,167.55735256272754,,
69,169.05156764457405,,
70,171.09940961149792,,
71,172.47569078152412,,
72,172.54323064892998,,
73,171.72886723983024,,
74,170.1682695820641,,
75,168.02622249032052,,
76,165.51605531656367,,
77,162.75381512473777,,
78,159.48838287024776,,
79,155.394059038285,,
80,150.14055094396562,,
81,143.25301780603255,,
82,135.99355710915097,,
83,129.87853605369344,,
84,124.41948611909864,,
85,120.5231242973312,,
86,119.07984577424781,,
87,119.62898039685476,,
88,121.80388049447713,,
89,125.97413303470363,,
90,132.60025552386415,,
91,142.0971973749337,,
92,151.79071326407066,,
93,158.97059063216577,,
94,163.7358197577657,,
95,166.16545240764216,,
96,166.1755498205406,,
97,166.29063439348093,,
98,166.69206598767843,,
99,167.55735256272766,,
100,169.05134752358762,,
101,171.09940961149786,,
102,172.4756751928784,,
103,172.54315736608373,,
104,171.7286893685196,,
105,170.1683797682235,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
